"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","LAD17NM"
"527","E01007820","Rotherham 002D","E05001036","Wath","Rotherham"
"528","E01007821","Rotherham 002E","E05001036","Wath","Rotherham"
"529","E01007822","Rotherham 002F","E05001036","Wath","Rotherham"
"530","E01007823","Sheffield 069A","E05010857","Beauchief and Greenhill","Sheffield"
"531","E01007824","Sheffield 066A","E05010857","Beauchief and Greenhill","Sheffield"
"532","E01007825","Sheffield 066B","E05010857","Beauchief and Greenhill","Sheffield"
"533","E01007826","Sheffield 066C","E05010857","Beauchief and Greenhill","Sheffield"
"534","E01007827","Sheffield 064A","E05010871","Graves Park","Sheffield"
"535","E01007828","Sheffield 059A","E05010871","Graves Park","Sheffield"
"536","E01007829","Sheffield 059B","E05010871","Graves Park","Sheffield"
"537","E01007830","Sheffield 064B","E05010871","Graves Park","Sheffield"
"538","E01007831","Sheffield 059C","E05010871","Graves Park","Sheffield"
"539","E01007832","Sheffield 059D","E05010871","Graves Park","Sheffield"
"540","E01007833","Sheffield 064C","E05010871","Graves Park","Sheffield"
"541","E01007834","Sheffield 066D","E05010857","Beauchief and Greenhill","Sheffield"
"542","E01007835","Sheffield 062A","E05010859","Birley","Sheffield"
"543","E01007836","Sheffield 062B","E05010859","Birley","Sheffield"
"544","E01007838","Sheffield 076A","E05010859","Birley","Sheffield"
"545","E01007839","Sheffield 076B","E05010859","Birley","Sheffield"
"546","E01007841","Sheffield 076C","E05010859","Birley","Sheffield"
"547","E01007842","Sheffield 076D","E05010859","Birley","Sheffield"
"548","E01007843","Sheffield 062C","E05010859","Birley","Sheffield"
"549","E01007846","Sheffield 062D","E05010859","Birley","Sheffield"
"550","E01007847","Sheffield 014A","E05010878","Shiregreen and Brightside","Sheffield"
"551","E01007848","Sheffield 013A","E05010868","Firth Park","Sheffield"
"552","E01007849","Sheffield 010A","E05010868","Firth Park","Sheffield"
"553","E01007850","Sheffield 014B","E05010878","Shiregreen and Brightside","Sheffield"
"554","E01007851","Sheffield 013B","E05010868","Firth Park","Sheffield"
"555","E01007852","Sheffield 014C","E05010878","Shiregreen and Brightside","Sheffield"
"556","E01007853","Sheffield 014D","E05010878","Shiregreen and Brightside","Sheffield"
"557","E01007854","Sheffield 014E","E05010878","Shiregreen and Brightside","Sheffield"
"558","E01007855","Sheffield 014F","E05010878","Shiregreen and Brightside","Sheffield"
"559","E01007856","Sheffield 007A","E05010878","Shiregreen and Brightside","Sheffield"
"560","E01007857","Sheffield 010B","E05010878","Shiregreen and Brightside","Sheffield"
"561","E01007858","Sheffield 038A","E05010869","Fulwood","Sheffield"
"562","E01007859","Sheffield 036A","E05010860","Broomhill and Sharrow Vale","Sheffield"
"563","E01007860","Sheffield 036B","E05010860","Broomhill and Sharrow Vale","Sheffield"
"564","E01007861","Sheffield 038B","E05010869","Fulwood","Sheffield"
"565","E01007862","Sheffield 038C","E05010869","Fulwood","Sheffield"
"566","E01007863","Sheffield 036C","E05010860","Broomhill and Sharrow Vale","Sheffield"
"567","E01007864","Sheffield 036D","E05010860","Broomhill and Sharrow Vale","Sheffield"
"568","E01007865","Sheffield 038D","E05010869","Fulwood","Sheffield"
"569","E01007866","Sheffield 030A","E05010860","Broomhill and Sharrow Vale","Sheffield"
"570","E01007867","Sheffield 030B","E05010860","Broomhill and Sharrow Vale","Sheffield"
"571","E01007868","Sheffield 030C","E05010860","Broomhill and Sharrow Vale","Sheffield"
"572","E01007869","Sheffield 020A","E05010861","Burngreave","Sheffield"
"573","E01007870","Sheffield 019A","E05010861","Burngreave","Sheffield"
"574","E01007871","Sheffield 019B","E05010861","Burngreave","Sheffield"
"575","E01007872","Sheffield 020B","E05010861","Burngreave","Sheffield"
"576","E01007873","Sheffield 020C","E05010861","Burngreave","Sheffield"
"577","E01007874","Sheffield 022A","E05010861","Burngreave","Sheffield"
"578","E01007875","Sheffield 022B","E05010861","Burngreave","Sheffield"
"579","E01007877","Sheffield 022D","E05010861","Burngreave","Sheffield"
"580","E01007878","Sheffield 075A","E05010873","Manor Castle","Sheffield"
"581","E01007879","Sheffield 075B","E05010873","Manor Castle","Sheffield"
"582","E01007881","Sheffield 075C","E05010873","Manor Castle","Sheffield"
"583","E01007882","Sheffield 075D","E05010873","Manor Castle","Sheffield"
"584","E01007883","Sheffield 027A","E05010864","Darnall","Sheffield"
"585","E01007885","Sheffield 075E","E05010873","Manor Castle","Sheffield"
"586","E01007886","Sheffield 075F","E05010873","Manor Castle","Sheffield"
"587","E01007887","Sheffield 004A","E05010866","East Ecclesfield","Sheffield"
"588","E01007888","Sheffield 003A","E05010883","West Ecclesfield","Sheffield"
"589","E01007889","Sheffield 004B","E05010866","East Ecclesfield","Sheffield"
"590","E01007890","Sheffield 004C","E05010866","East Ecclesfield","Sheffield"
"591","E01007891","Sheffield 004D","E05010866","East Ecclesfield","Sheffield"
"592","E01007892","Sheffield 003B","E05010883","West Ecclesfield","Sheffield"
"593","E01007893","Sheffield 003C","E05010883","West Ecclesfield","Sheffield"
"594","E01007894","Sheffield 004E","E05010866","East Ecclesfield","Sheffield"
"595","E01007895","Sheffield 004F","E05010866","East Ecclesfield","Sheffield"
"596","E01007896","Sheffield 004G","E05010866","East Ecclesfield","Sheffield"
"597","E01007897","Sheffield 005A","E05010883","West Ecclesfield","Sheffield"
"598","E01007898","Sheffield 003D","E05010883","West Ecclesfield","Sheffield"
"599","E01007899","Sheffield 003E","E05010883","West Ecclesfield","Sheffield"
"600","E01007900","Sheffield 003F","E05010883","West Ecclesfield","Sheffield"
"601","E01007901","Sheffield 003G","E05010883","West Ecclesfield","Sheffield"
"602","E01007902","Sheffield 027B","E05010864","Darnall","Sheffield"
"603","E01007903","Sheffield 018A","E05010864","Darnall","Sheffield"
"604","E01007904","Sheffield 018B","E05010864","Darnall","Sheffield"
"605","E01007905","Sheffield 027C","E05010864","Darnall","Sheffield"
"606","E01008006","Sheffield 054D","E05010876","Park and Arbourthorne","Sheffield"
"607","E01008007","Sheffield 060A","E05010870","Gleadless Valley","Sheffield"
"608","E01008008","Sheffield 045D","E05010877","Richmond","Sheffield"
"609","E01008009","Sheffield 045E","E05010877","Richmond","Sheffield"
"610","E01008010","Sheffield 052E","E05010877","Richmond","Sheffield"
"611","E01008011","Sheffield 039A","E05010873","Manor Castle","Sheffield"
"612","E01008012","Sheffield 039B","E05010873","Manor Castle","Sheffield"
"613","E01008013","Sheffield 039C","E05010873","Manor Castle","Sheffield"
"614","E01008014","Sheffield 032E","E05010864","Darnall","Sheffield"
"615","E01008015","Sheffield 039D","E05010873","Manor Castle","Sheffield"
"616","E01008016","Sheffield 032F","E05010864","Darnall","Sheffield"
"617","E01008017","Sheffield 039E","E05010873","Manor Castle","Sheffield"
