"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","LAD17NM"
"740","E01008093","Sheffield 017D","E05010872","Hillsborough","Sheffield"
"741","E01008094","Sheffield 019D","E05010879","Southey","Sheffield"
"742","E01008095","Sheffield 043A","E05010876","Park and Arbourthorne","Sheffield"
"743","E01008096","Sheffield 043B","E05010876","Park and Arbourthorne","Sheffield"
"744","E01008097","Sheffield 043C","E05010876","Park and Arbourthorne","Sheffield"
"745","E01008098","Sheffield 048A","E05010876","Park and Arbourthorne","Sheffield"
"746","E01008099","Sheffield 051E","E05010870","Gleadless Valley","Sheffield"
"747","E01008100","Sheffield 048B","E05010876","Park and Arbourthorne","Sheffield"
"748","E01008101","Sheffield 043D","E05010876","Park and Arbourthorne","Sheffield"
"749","E01008102","Sheffield 048C","E05010876","Park and Arbourthorne","Sheffield"
"750","E01008103","Sheffield 048D","E05010876","Park and Arbourthorne","Sheffield"
"751","E01008104","Sheffield 036E","E05010860","Broomhill and Sharrow Vale","Sheffield"
"752","E01008105","Sheffield 040A","E05010875","Nether Edge and Sharrow","Sheffield"
"753","E01008107","Sheffield 040C","E05010875","Nether Edge and Sharrow","Sheffield"
"754","E01008108","Sheffield 042A","E05010862","City","Sheffield"
"755","E01008109","Sheffield 042B","E05010875","Nether Edge and Sharrow","Sheffield"
"756","E01007956","Sheffield 041B","E05010869","Fulwood","Sheffield"
"757","E01007957","Sheffield 041C","E05010869","Fulwood","Sheffield"
"758","E01007958","Sheffield 041D","E05010869","Fulwood","Sheffield"
"759","E01007959","Sheffield 041E","E05010869","Fulwood","Sheffield"
"760","E01007960","Sheffield 029B","E05010863","Crookes and Crosspool","Sheffield"
"761","E01007961","Sheffield 033D","E05010863","Crookes and Crosspool","Sheffield"
"762","E01007962","Sheffield 029C","E05010863","Crookes and Crosspool","Sheffield"
"763","E01007963","Sheffield 045A","E05010877","Richmond","Sheffield"
"764","E01007964","Sheffield 049A","E05010884","Woodhouse","Sheffield"
"765","E01007965","Sheffield 044A","E05010884","Woodhouse","Sheffield"
"766","E01007966","Sheffield 049B","E05010884","Woodhouse","Sheffield"
"767","E01007967","Sheffield 045B","E05010877","Richmond","Sheffield"
"768","E01007968","Sheffield 049C","E05010884","Woodhouse","Sheffield"
"769","E01007969","Sheffield 044B","E05010884","Woodhouse","Sheffield"
"770","E01007970","Sheffield 049D","E05010884","Woodhouse","Sheffield"
"771","E01007971","Sheffield 037C","E05010884","Woodhouse","Sheffield"
"772","E01007972","Sheffield 044C","E05010884","Woodhouse","Sheffield"
"773","E01007973","Sheffield 037D","E05010877","Richmond","Sheffield"
"774","E01007974","Sheffield 044D","E05010884","Woodhouse","Sheffield"
"775","E01007975","Sheffield 051A","E05010870","Gleadless Valley","Sheffield"
"776","E01007976","Sheffield 051B","E05010870","Gleadless Valley","Sheffield"
"777","E01007977","Sheffield 051C","E05010870","Gleadless Valley","Sheffield"
"778","E01007978","Sheffield 053A","E05010870","Gleadless Valley","Sheffield"
"779","E01007979","Sheffield 051D","E05010870","Gleadless Valley","Sheffield"
"780","E01007980","Sheffield 053B","E05010870","Gleadless Valley","Sheffield"
"781","E01007981","Sheffield 053C","E05010870","Gleadless Valley","Sheffield"
"782","E01007982","Sheffield 054A","E05010870","Gleadless Valley","Sheffield"
