"LSOA_code","LSOA_name","Local_authority_district_code","Local_authority_district_name","IMD_score","IMD_rank"
"E01008020","Sheffield 065B","E08000019","Sheffield",15.43,18216
"E01008022","Sheffield 065C","E08000019","Sheffield",63.577,644
"E01008027","Sheffield 065D","E08000019","Sheffield",32.587,7083
"E01008037","Sheffield 065E","E08000019","Sheffield",37.966,5148
"E01008039","Sheffield 065F","E08000019","Sheffield",11.831,21993
"E01007824","Sheffield 066A","E08000019","Sheffield",4.089,31198
"E01007825","Sheffield 066B","E08000019","Sheffield",7.481,27388
"E01007826","Sheffield 066C","E08000019","Sheffield",3.753,31519
"E01007834","Sheffield 066D","E08000019","Sheffield",11.016,22991
"E01007920","Sheffield 068A","E08000019","Sheffield",4.514,30783
"E01007921","Sheffield 068B","E08000019","Sheffield",7.529,27327
"E01007923","Sheffield 068C","E08000019","Sheffield",5.401,29879
"E01007925","Sheffield 068D","E08000019","Sheffield",8.769,25742
"E01007926","Sheffield 068E","E08000019","Sheffield",5.84,29370
"E01007933","Sheffield 068F","E08000019","Sheffield",4.274,31015
"E01007823","Sheffield 069A","E08000019","Sheffield",18.213,15701
"E01007916","Sheffield 069B","E08000019","Sheffield",51.721,1932
"E01007919","Sheffield 069C","E08000019","Sheffield",55.63,1392
"E01008080","Sheffield 069D","E08000019","Sheffield",21.127,13363
"E01008081","Sheffield 070A","E08000019","Sheffield",43.988,3422
"E01008082","Sheffield 070B","E08000019","Sheffield",54.04,1599
"E01008083","Sheffield 070C","E08000019","Sheffield",55.958,1351
"E01008084","Sheffield 070D","E08000019","Sheffield",60.106,927
"E01007915","Sheffield 071A","E08000019","Sheffield",3.067,32062
"E01007917","Sheffield 071B","E08000019","Sheffield",16.23,17437
"E01007918","Sheffield 071C","E08000019","Sheffield",9.003,25458
"E01007922","Sheffield 071D","E08000019","Sheffield",3.53,31718
"E01007924","Sheffield 071E","E08000019","Sheffield",14.2,19432
"E01008021","Sheffield 072A","E08000019","Sheffield",5.245,30041
"E01008023","Sheffield 072B","E08000019","Sheffield",7.422,27463
"E01008024","Sheffield 072C","E08000019","Sheffield",16.401,17290
"E01008025","Sheffield 072D","E08000019","Sheffield",11.251,22701
"E01032585","Sheffield 072E","E08000019","Sheffield",9.98,24255
"E01033261","Sheffield 073A","E08000019","Sheffield",24.532,11121
"E01033262","Sheffield 073B","E08000019","Sheffield",20.775,13642
"E01033263","Sheffield 073C","E08000019","Sheffield",30.441,8016
"E01033264","Sheffield 073D","E08000019","Sheffield",24.403,11200
"E01033276","Sheffield 073E","E08000019","Sheffield",21.693,12949
"E01008114","Sheffield 074A","E08000019","Sheffield",48.014,2596
"E01008115","Sheffield 074B","E08000019","Sheffield",23.674,11641
"E01033265","Sheffield 074C","E08000019","Sheffield",30.734,7885
"E01033266","Sheffield 074D","E08000019","Sheffield",28.901,8743
"E01033267","Sheffield 074E","E08000019","Sheffield",32.023,7315
"E01007878","Sheffield 075A","E08000019","Sheffield",47.48,2701
"E01007879","Sheffield 075B","E08000019","Sheffield",26.416,10056
"E01007881","Sheffield 075C","E08000019","Sheffield",38.393,5002
"E01007882","Sheffield 075D","E08000019","Sheffield",21.591,13006
"E01007885","Sheffield 075E","E08000019","Sheffield",59.154,998
"E01007886","Sheffield 075F","E08000019","Sheffield",55.845,1369
"E01033268","Sheffield 075G","E08000019","Sheffield",32.703,7043
"E01007838","Sheffield 076A","E08000019","Sheffield",17.214,16564
"E01007839","Sheffield 076B","E08000019","Sheffield",8.837,25652
"E01007841","Sheffield 076C","E08000019","Sheffield",9.669,24616
"E01007842","Sheffield 076D","E08000019","Sheffield",22.693,12270
"E01033278","Sheffield 076E","E08000019","Sheffield",38.9,4827
"E01033279","Sheffield 076F","E08000019","Sheffield",41.291,4126
