"LSOA code (2011)","LSOA name (2011)","Local Authority District code (2013)","Local Authority District name (2013)","Index of Multiple Deprivation (IMD) Score","Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)","Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)","Income Score (rate)","Income Rank (where 1 is most deprived)","Income Decile (where 1 is most deprived 10% of LSOAs)","Employment Score (rate)","Employment Rank (where 1 is most deprived)","Employment Decile (where 1 is most deprived 10% of LSOAs)","Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)","Health Deprivation and Disability Score","Health Deprivation and Disability Rank (where 1 is most deprived)","Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs)","Crime Score","Crime Rank (where 1 is most deprived)","Crime Decile (where 1 is most deprived 10% of LSOAs)","Barriers to Housing and Services Score","Barriers to Housing and Services Rank (where 1 is most deprived)","Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs)","Living Environment Score","Living Environment Rank (where 1 is most deprived)","Living Environment Decile (where 1 is most deprived 10% of LSOAs)","Income Deprivation Affecting Children Index (IDACI) Score (rate)","Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived)","Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs)","Income Deprivation Affecting Older People (IDAOPI) Score (rate)","Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived)","Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs)","Children and Young People Sub-domain Score","Children and Young People Sub-domain Rank (where 1 is most deprived)","Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Adult Skills Sub-domain Score","Adult Skills Sub-domain Rank (where 1 is most deprived)","Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Geographical Barriers Sub-domain Score","Geographical Barriers Sub-domain Rank (where 1 is most deprived)","Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Wider Barriers Sub-domain Score","Wider Barriers Sub-domain Rank (where 1 is most deprived)","Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Indoors Sub-domain Score","Indoors Sub-domain Rank (where 1 is most deprived)","Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Outdoors Sub-domain Score","Outdoors Sub-domain Rank (where 1 is most deprived)","Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs)","Total population: mid 2012 (excluding prisoners)","Dependent Children aged 0-15: mid 2012 (excluding prisoners)","Population aged 16-59: mid 2012 (excluding prisoners)","Older population aged 60 and over: mid 2012 (excluding prisoners)","Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners)"
"E01007881","Sheffield 075C","E08000019","Sheffield",38.393,5002,2,0.238,6101,2,0.217,4032,2,41.379,4982,2,0.951,4789,2,0.944,3884,2,20.954,15600,5,25.265,11226,4,0.319,5820,2,0.242,8885,3,0.916,4407,2,0.415,5837,2,-0.713,26924,9,2.188,6115,2,0.373,11036,4,0.413,9955,4,1560,307,947,306,953.25
"E01007882","Sheffield 075D","E08000019","Sheffield",21.591,13006,4,0.133,14197,5,0.127,11693,4,27.35,9736,3,0.246,12618,4,0.058,15676,5,20.563,16082,5,27.347,10046,4,0.167,14743,5,0.083,25520,8,0.814,5345,2,0.288,17347,6,-0.715,26950,9,2.112,6335,2,0.463,9845,3,0.453,9426,3,1608,254,1070,284,1058
"E01007885","Sheffield 075E","E08000019","Sheffield",59.154,998,1,0.428,483,1,0.308,887,1,64.098,1229,1,1.44,1861,1,0.1,15003,5,31.042,6129,2,13.88,19565,6,0.563,273,1,0.425,1903,1,1.495,1052,1,0.49,2408,1,0.102,14070,5,2.695,4706,2,-0.609,24837,8,0.483,9011,3,1569,368,1013,188,1013.25
"E01007886","Sheffield 075F","E08000019","Sheffield",55.845,1369,1,0.387,1005,1,0.271,1800,1,85.022,156,1,1.251,2792,1,-0.307,21168,7,31.099,6087,2,16.742,17035,6,0.438,1866,1,0.448,1496,1,1.634,676,1,0.605,187,1,-0.26,20300,7,3.386,3145,1,-0.197,19367,6,0.396,10158,4,1634,437,916,281,899.25
"E01033268","Sheffield 075G","E08000019","Sheffield",32.703,7043,3,0.167,10871,4,0.128,11481,4,42.654,4664,2,0.73,6802,3,0.919,4112,2,35.502,3790,2,28.056,9657,3,0.138,17302,6,0.403,2379,1,1.111,2917,1,0.387,7677,3,-0.139,18212,6,3.925,2281,1,-0.41,22329,7,1.541,1402,1,2691,462,1896,333,1915.75
"E01007838","Sheffield 076A","E08000019","Sheffield",17.214,16564,6,0.102,18057,6,0.089,17829,6,25.282,10716,4,-0.007,16222,5,0.28,12208,4,21.118,15400,5,21.651,13512,5,0.094,22031,7,0.168,14610,5,0.262,12158,4,0.366,9332,3,0.354,9968,4,-0.198,16545,6,0.232,13097,4,0.297,11525,4,1495,254,899,342,907.75
"E01007839","Sheffield 076B","E08000019","Sheffield",8.837,25652,8,0.047,28659,9,0.057,26016,8,20.161,13638,5,-0.284,20364,7,-0.125,18463,6,13.163,25271,8,13.534,19880,7,0.053,28076,9,0.082,25620,8,0.236,12492,4,0.314,14414,5,-0.01,15953,5,-1.025,21085,7,-0.456,22955,7,0.329,11101,4,1671,347,1038,286,1024.5
"E01007841","Sheffield 076C","E08000019","Sheffield",9.669,24616,8,0.071,23342,8,0.065,23794,8,13.376,18737,6,-0.336,21059,7,-0.639,25663,8,20.185,16572,6,15.573,18042,6,0.074,24814,8,0.137,17832,6,-0.283,20726,7,0.3,15926,5,0.352,9985,4,-0.46,17949,6,0.083,15316,5,-0.189,19062,6,1663,314,955,394,936.25
"E01007842","Sheffield 076D","E08000019","Sheffield",22.693,12270,4,0.164,11180,4,0.155,8583,3,28.863,9046,3,0.501,9380,3,-0.17,19147,6,17.64,19752,7,8.843,24858,8,0.114,19629,6,0.273,7136,3,0.394,10213,4,0.383,8027,3,-0.602,25574,8,1.45,8754,3,-0.534,23967,8,-0.191,19103,6,1549,279,868,402,862.5
"E01033278","Sheffield 076E","E08000019","Sheffield",38.9,4827,2,0.257,5141,2,0.229,3417,2,58.214,1908,1,0.982,4530,2,0.4,10404,4,20,16804,6,8.142,25650,8,0.274,8044,3,0.309,5472,2,1.39,1449,1,0.467,3303,2,-0.415,22913,7,1.668,7903,3,-0.634,25121,8,-0.19,19084,6,2477,494,1320,663,1335.25
"E01033279","Sheffield 076F","E08000019","Sheffield",41.291,4126,2,0.231,6475,2,0.23,3338,2,78.501,350,1,0.861,5563,2,0.277,12274,4,24.281,11779,4,9.964,23604,8,0.26,8721,3,0.263,7695,3,1.872,264,1,0.526,1303,1,-0.144,18301,6,2.002,6727,3,-0.435,22667,7,-0.146,18398,6,2258,447,1229,582,1234.25
