"LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID","LSOA name.x"
"E01008123","Sheffield 015E","E05010868","Firth Park",NA,"E08000019","Sheffield",7911,"Sheffield 015E"
"E01008124","Sheffield 012F","E05010879","Southey",NA,"E08000019","Sheffield",7912,"Sheffield 012F"
"E01008125","Sheffield 009G","E05010879","Southey",NA,"E08000019","Sheffield",7913,"Sheffield 009G"
"E01008126","Sheffield 008A","E05010880","Stannington",NA,"E08000019","Sheffield",7914,"Sheffield 008A"
"E01008128","Sheffield 008C","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7915,"Sheffield 008C"
"E01008129","Sheffield 023A","E05010880","Stannington",NA,"E08000019","Sheffield",7916,"Sheffield 023A"
"E01008130","Sheffield 023B","E05010880","Stannington",NA,"E08000019","Sheffield",7917,"Sheffield 023B"
"E01008131","Sheffield 023C","E05010880","Stannington",NA,"E08000019","Sheffield",7918,"Sheffield 023C"
"E01008132","Sheffield 023D","E05010880","Stannington",NA,"E08000019","Sheffield",7919,"Sheffield 023D"
"E01008133","Sheffield 023E","E05010880","Stannington",NA,"E08000019","Sheffield",7920,"Sheffield 023E"
"E01008134","Sheffield 005B","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7921,"Sheffield 005B"
"E01008135","Sheffield 005C","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7922,"Sheffield 005C"
"E01008136","Sheffield 008D","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7923,"Sheffield 008D"
"E01008137","Sheffield 005D","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7924,"Sheffield 005D"
"E01008138","Sheffield 006D","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7925,"Sheffield 006D"
"E01008139","Sheffield 006E","E05010866","East Ecclesfield",NA,"E08000019","Sheffield",7926,"Sheffield 006E"
"E01008140","Sheffield 008E","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7927,"Sheffield 008E"
"E01008141","Sheffield 005E","E05010883","West Ecclesfield",NA,"E08000019","Sheffield",7928,"Sheffield 005E"
"E01008142","Sheffield 002A","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7929,"Sheffield 002A"
"E01008143","Sheffield 002B","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7930,"Sheffield 002B"
"E01008144","Sheffield 001A","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7931,"Sheffield 001A"
"E01008145","Sheffield 001B","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7932,"Sheffield 001B"
"E01008146","Sheffield 002C","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7933,"Sheffield 002C"
"E01008147","Sheffield 002D","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7934,"Sheffield 002D"
"E01008148","Sheffield 001C","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7935,"Sheffield 001C"
"E01008149","Sheffield 001D","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7936,"Sheffield 001D"
"E01008150","Sheffield 001E","E05010881","Stocksbridge and Upper Don",NA,"E08000019","Sheffield",7937,"Sheffield 001E"
"E01008151","Sheffield 024A","E05010882","Walkley",NA,"E08000019","Sheffield",7938,"Sheffield 024A"
"E01008152","Sheffield 025C","E05010880","Stannington",NA,"E08000019","Sheffield",7939,"Sheffield 025C"
"E01008153","Sheffield 024B","E05010882","Walkley",NA,"E08000019","Sheffield",7940,"Sheffield 024B"
"E01008154","Sheffield 024C","E05010882","Walkley",NA,"E08000019","Sheffield",7941,"Sheffield 024C"
"E01008155","Sheffield 024D","E05010882","Walkley",NA,"E08000019","Sheffield",7942,"Sheffield 024D"
"E01008156","Sheffield 024E","E05010882","Walkley",NA,"E08000019","Sheffield",7943,"Sheffield 024E"
"E01008157","Sheffield 026D","E05010882","Walkley",NA,"E08000019","Sheffield",7944,"Sheffield 026D"
